Index,Hogwarts House
0,Hufflepuff
1,Ravenclaw
2,Gryffindor
3,Hufflepuff
4,Slytherin
5,Ravenclaw
6,Hufflepuff
7,Ravenclaw
8,Hufflepuff
9,Hufflepuff
10,Slytherin
11,Slytherin
12,Slytherin
13,Hufflepuff
14,Ravenclaw
15,Slytherin
16,Ravenclaw
17,Hufflepuff
18,Slytherin
19,Ravenclaw
20,Ravenclaw
21,Hufflepuff
22,Ravenclaw
23,Gryffindor
24,Ravenclaw
25,Hufflepuff
26,Gryffindor
27,Hufflepuff
28,Hufflepuff
29,Ravenclaw
30,Gryffindor
31,Ravenclaw
32,Slytherin
33,Ravenclaw
34,Ravenclaw
35,Slytherin
36,Slytherin
37,Ravenclaw
38,Slytherin
39,Gryffindor
40,Ravenclaw
41,Slytherin
42,Ravenclaw
43,Hufflepuff
44,Ravenclaw
45,Ravenclaw
46,Hufflepuff
47,Slytherin
48,Ravenclaw
49,Hufflepuff
50,Gryffindor
51,Gryffindor
52,Gryffindor
53,Hufflepuff
54,Hufflepuff
55,Ravenclaw
56,Hufflepuff
57,Ravenclaw
58,Hufflepuff
59,Ravenclaw
60,Slytherin
61,Slytherin
62,Gryffindor
63,Ravenclaw
64,Hufflepuff
65,Hufflepuff
66,Gryffindor
67,Ravenclaw
68,Hufflepuff
69,Slytherin
70,Gryffindor
71,Hufflepuff
72,Hufflepuff
73,Hufflepuff
74,Ravenclaw
75,Ravenclaw
76,Slytherin
77,Gryffindor
78,Ravenclaw
79,Ravenclaw
80,Gryffindor
81,Slytherin
82,Ravenclaw
83,Hufflepuff
84,Hufflepuff
85,Hufflepuff
86,Ravenclaw
87,Hufflepuff
88,Slytherin
89,Hufflepuff
90,Slytherin
91,Gryffindor
92,Ravenclaw
93,Hufflepuff
94,Ravenclaw
95,Slytherin
96,Ravenclaw
97,Gryffindor
98,Hufflepuff
99,Gryffindor
100,Gryffindor
101,Ravenclaw
102,Ravenclaw
103,Slytherin
104,Ravenclaw
105,Hufflepuff
106,Ravenclaw
107,Ravenclaw
108,Gryffindor
109,Gryffindor
110,Slytherin
111,Hufflepuff
112,Ravenclaw
113,Ravenclaw
114,Slytherin
115,Gryffindor
116,Hufflepuff
117,Hufflepuff
118,Ravenclaw
119,Ravenclaw
120,Gryffindor
121,Ravenclaw
